,Date,SMB_Wt,HML_Wt,RMW_Wt,CMA_Wt,Mom   _Wt
304,2015-09,0.21181294,0.2252007,0.16614856,0.17400615,0.20911142
305,2015-10,0.19850376,0.2035354,0.19366507,0.21012557,0.21004312
306,2015-11,0.20517156,0.18904886,0.16302235,0.20273873,0.19173425
307,2015-12,0.19884597,0.16645464,0.16965885,0.21251002,0.21445681
308,2016-01,0.22129904,0.20969863,0.19746026,0.18111862,0.21575479
309,2016-02,0.21292242,0.18210895,0.1561684,0.17449369,0.28965145
310,2016-03,0.21202728,0.17762889,0.17085007,0.19157669,0.22263779
311,2016-04,0.21629877,0.18357567,0.17710392,0.16676885,0.2467033
312,2016-05,0.1904161,0.18315546,0.20863357,0.20871536,0.25052378
313,2016-06,0.20234382,0.18409552,0.18291351,0.20107956,0.26331353
314,2016-07,0.19221076,0.19791016,0.17293824,0.20046431,0.22485259
315,2016-08,0.21512844,0.18068582,0.16691053,0.18156752,0.29035732
316,2016-09,0.23376143,0.17387958,0.17230567,0.19974181,0.2250789
317,2016-10,0.20211966,0.21137528,0.17806262,0.2168654,0.22761376
318,2016-11,0.21624495,0.20923683,0.1764784,0.18629774,0.24816266
319,2016-12,0.20917867,0.21234249,0.21496128,0.18581627,0.20047902
320,2017-01,0.19182445,0.20763493,0.19583808,0.19169334,0.22782375
321,2017-02,0.17592745,0.22827025,0.25249663,0.18632144,0.20296904
322,2017-03,0.20591424,0.20875874,0.17101644,0.185512,0.18298802
323,2017-04,0.21261342,0.1915637,0.16785146,0.22176634,0.204849
324,2017-05,0.22065479,0.23354776,0.16517252,0.17792375,0.23653424
325,2017-06,0.21130444,0.21851473,0.17778108,0.18939419,0.20976678
326,2017-07,0.20587893,0.23690666,0.16848125,0.16142282,0.2331349
327,2017-08,0.21456943,0.22212997,0.17293343,0.23230577,0.20244557
328,2017-09,0.20737684,0.22895612,0.18021972,0.20715392,0.19936322
329,2017-10,0.19166866,0.19292222,0.17267492,0.19603497,0.23662193
330,2017-11,0.20575461,0.18331388,0.17828345,0.20658176,0.22819012
331,2017-12,0.2010227,0.22472152,0.1832351,0.21716307,0.20288214
332,2018-01,0.20533349,0.17968427,0.17404069,0.21174361,0.20298073
333,2018-02,0.23290893,0.19097617,0.1817847,0.16999932,0.20761903
334,2018-03,0.19690524,0.20495336,0.16595393,0.2142344,0.23132654
335,2018-04,0.20147015,0.1760853,0.15133803,0.21929696,0.22726452
336,2018-05,0.21691555,0.21625414,0.17419136,0.1978432,0.20017454
337,2018-06,0.20947938,0.19645163,0.17871551,0.1954709,0.20405096
338,2018-07,0.15200791,0.1671999,0.18131445,0.18366562,0.27544457
339,2018-08,0.20613804,0.19755307,0.17314744,0.18574081,0.26983005
340,2018-09,0.202372,0.17858128,0.17494033,0.20536262,0.19158535
341,2018-10,0.18940975,0.2098437,0.1550928,0.19457106,0.25568795
342,2018-11,0.20235574,0.18499677,0.1633453,0.17873454,0.2798079
343,2018-12,0.20186579,0.18721394,0.19695994,0.1635486,0.26983994
344,2019-01,0.19880486,0.18907477,0.22345442,0.1852467,0.19441722
345,2019-02,0.19078188,0.18758224,0.18439732,0.15919329,0.2358721
346,2019-03,0.21799554,0.19284268,0.17702405,0.19491592,0.25709048
347,2019-04,0.18925267,0.2525975,0.17638113,0.18049292,0.2429538
348,2019-05,0.18039638,0.22180584,0.18099484,0.163915,0.31578055
349,2019-06,0.19360825,0.16443422,0.20552057,0.24718866,0.20346937
350,2019-07,0.17945765,0.18280594,0.16625333,0.17285848,0.2874632
351,2019-08,0.1807871,0.15677252,0.17126407,0.21017615,0.23332123
352,2019-09,0.18752642,0.21167167,0.18696618,0.20511164,0.18909104
353,2019-10,0.1881005,0.17572337,0.16100156,0.16285628,0.2978833
354,2019-11,0.18527387,0.1528927,0.20908543,0.22091569,0.24278541
355,2019-12,0.19721916,0.20462058,0.22979476,0.18857874,0.1986303
356,2020-01,0.21179591,0.15967906,0.15866067,0.20556955,0.23771238
357,2020-02,0.1956869,0.18384282,0.18107468,0.21358366,0.235163
358,2020-03,0.19325346,0.2005429,0.17147662,0.16611236,0.3157339
359,2020-04,0.18658198,0.19565634,0.16903013,0.22199048,0.18551645
360,2020-05,0.24834421,0.26301262,0.19577272,0.20598623,0.22966449
361,2020-06,0.20912036,0.22223186,0.19128384,0.21716268,0.26089418
362,2020-07,0.17857371,0.23893125,0.23999885,0.17681429,0.24661045
363,2020-08,0.2007726,0.20064712,0.16503009,0.1780535,0.27487442
364,2020-09,0.2169115,0.27347144,0.1652927,0.18649268,0.26403388
365,2020-10,0.2123946,0.21699227,0.16954108,0.19182174,0.22717842
366,2020-11,0.2035672,0.17618422,0.18379547,0.20585166,0.23215303
367,2020-12,0.1854967,0.23433575,0.19437623,0.19900613,0.18202323
368,2021-01,0.20688905,0.22146283,0.18176559,0.20966214,0.2620719
369,2021-02,0.21694814,0.19478723,0.2521308,0.20499536,0.23352973
370,2021-03,0.19833018,0.22554004,0.23068784,0.19114594,0.21719311
371,2021-04,0.19249396,0.19755667,0.25405,0.18853763,0.2354764
372,2021-05,0.19904146,0.22614858,0.22015828,0.19232644,0.24230663
373,2021-06,0.20307942,0.2133776,0.24600564,0.1881802,0.19994263
374,2021-07,0.2003644,0.18979235,0.21137054,0.21852206,0.17836666
375,2021-08,0.20882653,0.19451064,0.1703114,0.18104188,0.2515197
376,2021-09,0.22284433,0.16896905,0.18432432,0.21271268,0.19951561
377,2021-10,0.2102062,0.22121255,0.17830285,0.22222249,0.20146862
378,2021-11,0.18433051,0.18833137,0.19111644,0.21719702,0.20881943
379,2021-12,0.18431386,0.20043413,0.18541878,0.20792568,0.21813063
380,2022-01,0.22011551,0.17919122,0.15896222,0.1848561,0.21910387
